SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Calling Type,Country,Region Code,serviceName
422CD34WH4NP7Q6H,JRTCKXETXF,422CD34WH4NP7Q6H.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Colombia,2022-03-01,0,Inf,Minute,0.3397770000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-CO-tollfree-inbound-mins,,Toll Free,Colombia,us-east-1,Amazon Chime Dialin
42KCFPDCQUUWWKXP,JRTCKXETXF,42KCFPDCQUUWWKXP.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Bahrain,2022-03-01,0,Inf,Minute,0.0706300000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-BH-toll-inbound-mins,,Toll,Bahrain,us-east-1,Amazon Chime Dialin
46MBK7D6EDUZWV25,JRTCKXETXF,46MBK7D6EDUZWV25.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Turks and Caicos Islands,2022-03-01,0,Inf,Minute,0.0022160000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-TC-toll-inbound-mins,,Toll,Turks and Caicos Islands,us-east-1,Amazon Chime Dialin
49NQ55AAAEU6ASMG,JRTCKXETXF,49NQ55AAAEU6ASMG.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Estonia,2022-03-01,0,Inf,Minute,0.0087950000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-EE-toll-inbound-mins,,Toll,Estonia,us-east-1,Amazon Chime Dialin
4FN94CR55BZX63AP,JRTCKXETXF,4FN94CR55BZX63AP.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Greece,2022-03-01,0,Inf,Minute,0.6724300000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-GR-tollfree-inbound-mins,,Toll Free,Greece,us-east-1,Amazon Chime Dialin
4GR2BAQKTNHP96K6,JRTCKXETXF,4GR2BAQKTNHP96K6.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Antigua and Barbuda,2022-03-01,0,Inf,Minute,0.0119100000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-AG-tollfree-inbound-mins,,Toll Free,Antigua and Barbuda,us-east-1,Amazon Chime Dialin
4MAS55R44ZPB73TK,JRTCKXETXF,4MAS55R44ZPB73TK.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Costa Rica,2022-03-01,0,Inf,Minute,0.3040000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-CR-toll-inbound-mins,,Toll,Costa Rica,us-east-1,Amazon Chime Dialin
4TD54RA95T55EGE4,JRTCKXETXF,4TD54RA95T55EGE4.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for United Kingdom,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-GB-toll-inbound-mins,,Toll,United Kingdom,us-east-1,Amazon Chime Dialin
56Z5FJ5JATN342FQ,JRTCKXETXF,56Z5FJ5JATN342FQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per minutes for US-toll-inbound-onnet-mins in US East (N. Virginia),2022-03-01,0,Inf,minutes,0.0000000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-US-toll-inbound-onnet-mins,,Toll-OnNet,United States of America,us-east-1,Amazon Chime Dialin
5GDPXNQFZG4TVWJQ,JRTCKXETXF,5GDPXNQFZG4TVWJQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Austria,2022-03-01,0,Inf,Minute,0.3407080000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-AT-tollfree-inbound-mins,,Toll Free,Austria,us-east-1,Amazon Chime Dialin
