SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Min Volume Size,Max Volume Size,usageType,operation,Availability Zone,Capacity Usage,Dedicated EBS Throughput,Enhanced Networking Supported,Processor Features,Region Code,serviceName,Type
63DDJNJ9QDC995TC,JRTCKXETXF,63DDJNJ9QDC995TC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0372 per On Demand DMS t3.micro Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,0.0372000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,t3.micro,Yes,General purpose,2,Intel Xeon Family,2.5 GHz,1 GiB,EBS Only,Low to Moderate,64-bit,,,,,Multi-AZUsg:dms.t3.micro,CreateDMSInstance,Multiple,,N/A,No,N/A,us-east-1,AWS Database Migration Service,
66K3392HXGV8VA94,JRTCKXETXF,66K3392HXGV8VA94.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.706 per On Demand DMS r6i.2xlarge Instance Hour,2025-03-01,0,Inf,Hrs,0.7060000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r6i.2xlarge,Yes,Memory optimized,8,Intel Xeon Platinum 8000,Up to 3.1 GHz,64 GiB,EBS Only,10 Gigabit,64-bit,,,,,InstanceUsg:dms.r6i.2xlarge,CreateDMSInstance,Single,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
6C9V98X23AWXWUMW,JRTCKXETXF,6C9V98X23AWXWUMW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0745 per On Demand DMS t3.medium Instance Hour,2025-03-01,0,Inf,Hrs,0.0745000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,t3.medium,Yes,General purpose,2,Intel Xeon Family,2.5 GHz,4 GiB,EBS Only,Low to Moderate,64-bit,,,,,InstanceUsg:dms.t3.medium,CreateDMSInstance,Single,,N/A,No,N/A,us-east-1,AWS Database Migration Service,
6N97MZSFXG2BJXPC,JRTCKXETXF,6N97MZSFXG2BJXPC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.238 per On Demand DMS c6i.large Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,0.2380000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c6i.large,Yes,Compute optimized,2,Intel Xeon Platinum,3.0 Ghz,4 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.c6i.large,CreateDMSInstance,Multiple,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
6UX3Y9NVYGB9JDM6,JRTCKXETXF,6UX3Y9NVYGB9JDM6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.82 per On Demand DMS r4.xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,0.8200000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r4.xlarge,Yes,Memory optimized,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,30.5 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.r4.xlarge,CreateDMSInstance,Multiple,,800 Mbps,Yes,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,AWS Database Migration Service,
7RUDDVJTVY42MD82,JRTCKXETXF,7RUDDVJTVY42MD82.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.706 per On Demand DMS r6i.xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,0.7060000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r6i.xlarge,Yes,Memory optimized,4,Intel Xeon Platinum 8000,Up to 3.1 GHz,32 GiB,EBS Only,10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.r6i.xlarge,CreateDMSInstance,Multiple,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
7XVFTXNMVW6HZ8RB,JRTCKXETXF,7XVFTXNMVW6HZ8RB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.41 per On Demand DMS r4.xlarge Instance Hour,2025-03-01,0,Inf,Hrs,0.4100000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r4.xlarge,Yes,Memory optimized,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,30.5 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,InstanceUsg:dms.r4.xlarge,CreateDMSInstance,Single,,800 Mbps,Yes,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,AWS Database Migration Service,
7YR6PUC4JVKN448H,JRTCKXETXF,7YR6PUC4JVKN448H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$14.6064 per On Demand DMS c5.24xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,14.6064000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c5.24xlarge,Yes,Compute optimized,32,Intel Xeon Platinum,Up to 3.0 GHz,32 GiB,100 GB,Up to 10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.c5.24xlarge,CreateDMSInstance,Multiple,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
84YU3TK8VKYMXDXV,JRTCKXETXF,84YU3TK8VKYMXDXV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5.2438 per DMS Serverless 32 DCU capacity Multi-AZ DCU hours,2025-03-01,0,Inf,DCU-Hr,5.2438041520,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepMultiAZCapacityUsg:32,CreateDMSInstance,Multiple,32,,,,us-east-1,AWS Database Migration Service,Serverless
8FRYXPQJNW3WM6H8,JRTCKXETXF,8FRYXPQJNW3WM6H8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.952 per On Demand DMS c6i.4xlarge Instance Hour,2025-03-01,0,Inf,Hrs,0.9520000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c6i.4xlarge,Yes,Compute optimized,16,Intel Xeon Platinum,3.0 Ghz,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,InstanceUsg:dms.c6i.4xlarge,CreateDMSInstance,Single,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
