SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Storage Media,Group,Group Description,usageType,operation,Alarm Type,Database Engine Type,Instance Configuration Type,Logs Destination,Region Code,serviceName,Type,Type Description,Version
4DAN5Z24DZ67DTM2,JRTCKXETXF,4DAN5Z24DZ67DTM2.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.35 per GB of Application Signals data ingested for the first 10TB - US East (N. Virginia),2025-05-01,0,10240,GB,0.3500000000,USD,,Application Signals Bytes,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Application-Signals-bundle,CloudWatch Application Signals Bytes,USE1-Application-Signals-Bytes,,,,,,us-east-1,AmazonCloudWatch,,,
4DAN5Z24DZ67DTM2,JRTCKXETXF,4DAN5Z24DZ67DTM2.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.20 per GB of Application Signals data ingested for the next 20TB - US East (N. Virginia),2025-05-01,10240,30720,GB,0.2000000000,USD,,Application Signals Bytes,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Application-Signals-bundle,CloudWatch Application Signals Bytes,USE1-Application-Signals-Bytes,,,,,,us-east-1,AmazonCloudWatch,,,
4DAN5Z24DZ67DTM2,JRTCKXETXF,4DAN5Z24DZ67DTM2.JRTCKXETXF.YKK5MB6R7S,OnDemand,$0.15 per GB of Application Signals data ingested for over 30TB - US East (N. Virginia),2025-05-01,30720,Inf,GB,0.1500000000,USD,,Application Signals Bytes,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Application-Signals-bundle,CloudWatch Application Signals Bytes,USE1-Application-Signals-Bytes,,,,,,us-east-1,AmazonCloudWatch,,,
4QMADNHKY23SWZKV,JRTCKXETXF,4QMADNHKY23SWZKV.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.0125 per vCPU-Hour monitored by Database Insights for RDS Oracle provisioned databases,2025-05-01,0,Inf,vCPU-Hours,0.0125000000,USD,,CloudWatch Database Insights,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-DatabaseInsights,Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases,USE1-CW:DatabaseInsights-vCPU-Hours,RDS-Oracle:Provisioned,,RDS Oracle,Provisioned,,us-east-1,AmazonCloudWatch,,,
5HUKG7GCV5YVUX8F,JRTCKXETXF,5HUKG7GCV5YVUX8F.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.0125 per vCPU-Hour monitored by Database Insights for RDS PostgreSQL provisioned databases,2025-05-01,0,Inf,vCPU-Hours,0.0125000000,USD,,CloudWatch Database Insights,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-DatabaseInsights,Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases,USE1-CW:DatabaseInsights-vCPU-Hours,RDS-PostgreSQL:Provisioned,,RDS PostgreSQL,Provisioned,,us-east-1,AmazonCloudWatch,,,
5UHPES8UN3HUSRZ5,JRTCKXETXF,5UHPES8UN3HUSRZ5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0012 per canary run per month - US East (N. Virginia),2025-05-01,0,Inf,Runs,0.0012000000,USD,CCC6XKS9YEDWTEX3,Canaries,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Canaries,CloudWatch Synthetics Canaries,USE1-CW:Canary-runs,,,,,,us-east-1,AmazonCloudWatch,,,
6K9ADYQAHV5KX9KZ,JRTCKXETXF,6K9ADYQAHV5KX9KZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per GB-mo of log storage - US East (Northern Virginia),2025-05-01,0,Inf,GB-Mo,0.0300000000,USD,6XTVPDAM3VF25UTA,Storage Snapshot,AmazonCloudWatch,US East (N. Virginia),AWS Region,Amazon S3,,,USE1-TimedStorage-ByteHrs,,,,,,us-east-1,AmazonCloudWatch,,,Current
6RSABGMXGADP2M5F,JRTCKXETXF,6RSABGMXGADP2M5F.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.25 per GB for the first 10TB of vended log data delivered to S3 per month in US East (N. Virginia),2025-05-01,0,10240,GB,0.2500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Logs generated by Elemental MediaTailor and delivered to Amazon S3,USE1-S3-Egress-Bytes-MTLogs,,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
6RSABGMXGADP2M5F,JRTCKXETXF,6RSABGMXGADP2M5F.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.15 per GB for the next 20TB of vended log data delivered to S3 per month in US East (N. Virginia),2025-05-01,10240,30720,GB,0.1500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Logs generated by Elemental MediaTailor and delivered to Amazon S3,USE1-S3-Egress-Bytes-MTLogs,,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
6RSABGMXGADP2M5F,JRTCKXETXF,6RSABGMXGADP2M5F.JRTCKXETXF.AMET9K77J3,OnDemand,$0.075 per GB for the next 20TB of vended log data delivered to S3 per month in US East (N. Virginia),2025-05-01,30720,51200,GB,0.0750000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Logs generated by Elemental MediaTailor and delivered to Amazon S3,USE1-S3-Egress-Bytes-MTLogs,,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
