SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Bit Rate,Codec,Frame Rate,Input,Output,Pipeline,Region Code,Reserve Type,Resolution,serviceName,Video Quality
5NQMXA9ZC55K9DDW,JRTCKXETXF,5NQMXA9ZC55K9DDW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.974/hour for Standard Pipeline SD AV1 outputs at <=30fps and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,1.9740000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-AV1-SD-30-S,CHANNEL_OUTPUT,NA,,<=30fps,NA,AV1,Standard,us-east-1,On Demand,SD,AWS Elemental MediaLive,Standard
643VEZ2FSFDDNKV8,JRTCKXETXF,643VEZ2FSFDDNKV8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1947/hour for reserved Single Pipeline SD AVC outputs at 30-60fps and Enhanced VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.1947000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-SD-60-E-R,CHANNEL_OUTPUT,NA,,30-60fps,NA,AVC,Single,us-east-1,1 Year,SD,AWS Elemental MediaLive,Enhanced
64U7NU8S4TGEW523,JRTCKXETXF,64U7NU8S4TGEW523.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.6453/hour for reserved Standard Pipeline HD AVC outputs at 30-60fps and Enhanced VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.6453000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-AVC-HD-60-E-R,CHANNEL_OUTPUT,NA,,30-60fps,NA,AVC,Standard,us-east-1,1 Year,HD,AWS Elemental MediaLive,Enhanced
6AFYUUDJ6UZ28Q9Y,JRTCKXETXF,6AFYUUDJ6UZ28Q9Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.7477/hour for MediaLive Anywhere HD AV1 in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.7477000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EMLA-USE1-AV1-HD,CHANNEL_ACTIVE,,AV1,,,,,us-east-1,,HD,AWS Elemental MediaLive,
6E23DC8QQJNZF3BN,JRTCKXETXF,6E23DC8QQJNZF3BN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0649/hour for reserved Single Pipeline SD AVC outputs at 10-20mbps <=30fps  in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.0649000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-SD-L20-30-S-R,CHANNEL_OUTPUT,10-20mbps,,<=30fps,NA,AVC,Single,us-east-1,1 Year,SD,AWS Elemental MediaLive,Standard
6J8CYP68GNP4GQM6,JRTCKXETXF,6J8CYP68GNP4GQM6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.21/hour for 3-year reserved HEVC SD multiplex output in US East (N. Virginia),2025-05-01,0,Inf,Hrs,2.2100000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-MUX-HEVC-SD-R3,CHANNEL_OUTPUT,,,,,HEVC,,us-east-1,3 Year,SD,AWS Elemental MediaLive,
6X543AT79NDZ46F7,JRTCKXETXF,6X543AT79NDZ46F7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.528/hour for Standard Pipeline HD HEVC outputs at 30-60fps and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,3.5280000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-HEVC-HD-60-S,CHANNEL_OUTPUT,NA,,30-60fps,NA,HEVC,Standard,us-east-1,On Demand,HD,AWS Elemental MediaLive,Standard
764XNYTU5A3WAKNB,JRTCKXETXF,764XNYTU5A3WAKNB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0214/hour for reserved Single Pipeline SD AVC inputs at 10-20mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.0214000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-AVC-SD-L20-R,CHANNEL_INPUT,10-20mbps,,NA,AVC,NA,Single,us-east-1,1 Year,SD,AWS Elemental MediaLive,NA
765KFMYZ3FSZR76V,JRTCKXETXF,765KFMYZ3FSZR76V.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3233/hour for reserved Standard Pipeline HD AVC outputs at 20-50mbps 30-60fps  in US East (N. Virginia),2025-05-01,0,Inf,Hours,0.3233000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-AVC-HD-L50-60-S-R,CHANNEL_OUTPUT,20-50mbps,,30-60fps,NA,AVC,Standard,us-east-1,1 Year,HD,AWS Elemental MediaLive,Standard
7AW7TACK46WQZDJS,JRTCKXETXF,7AW7TACK46WQZDJS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.41/hour for Standard Pipeline SD HEVC outputs at <=30fps and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,1.4100000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-HEVC-SD-30-S,CHANNEL_OUTPUT,NA,,<=30fps,NA,HEVC,Standard,us-east-1,On Demand,SD,AWS Elemental MediaLive,Standard
7GHEMANJR4GKTVPU,JRTCKXETXF,7GHEMANJR4GKTVPU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.808/hour for Standard Pipeline HD HEVC outputs at <=30fps and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,2.8080000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-HEVC-HD-30-S,CHANNEL_OUTPUT,NA,,<=30fps,NA,HEVC,Standard,us-east-1,On Demand,HD,AWS Elemental MediaLive,Standard
7HWDBW62RZAYZ7MK,JRTCKXETXF,7HWDBW62RZAYZ7MK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$8.4/hour for on-demand running multiplexer in US East (N. Virginia),2025-05-01,0,Inf,Hrs,8.4000000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-MUX-ACTIVE,ACTIVE_MULTIPLEX,,,,,NA,,us-east-1,On Demand,NA,AWS Elemental MediaLive,
7HZDMMQ2PH4KUPMU,JRTCKXETXF,7HZDMMQ2PH4KUPMU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.5520/hour for Standard Pipeline SD AVC outputs at 10-20mbps,30-60fps,and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.5520000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-AVC-SD-L20-60-S,CHANNEL_OUTPUT,10-20mbps,,30-60fps,NA,AVC,Standard,us-east-1,On Demand,SD,AWS Elemental MediaLive,Standard
848JUQPXXCBCURTU,JRTCKXETXF,848JUQPXXCBCURTU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1291/hour for reserved Single Pipeline HD AVC outputs at 10-20mbps <=30fps  in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.1291000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-HD-L20-30-S-R,CHANNEL_OUTPUT,10-20mbps,,<=30fps,NA,AVC,Single,us-east-1,1 Year,HD,AWS Elemental MediaLive,Standard
85GHTXX5UQE6DJXD,JRTCKXETXF,85GHTXX5UQE6DJXD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1335/hour for MediaLive Anywhere HD AVC in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.1335000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EMLA-USE1-AVC-HD,CHANNEL_ACTIVE,,AVC,,,,,us-east-1,,HD,AWS Elemental MediaLive,
85N5N32GY94YZ4X9,JRTCKXETXF,85N5N32GY94YZ4X9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.8496/hour for Single Pipeline SD HEVC outputs at <=30fps and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.8496000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-HEVC-SD-30-S,CHANNEL_OUTPUT,NA,,<=30fps,NA,HEVC,Single,us-east-1,On Demand,SD,AWS Elemental MediaLive,Standard
85NABGGPR79P59N8,JRTCKXETXF,85NABGGPR79P59N8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.7580/hour for Standard Pipeline UHD AVC inputs at 10-20mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,1.7580000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-IN-AVC-UHD-L20,CHANNEL_INPUT,10-20mbps,,NA,AVC,NA,Standard,us-east-1,On Demand,UHD,AWS Elemental MediaLive,NA
8A49CDX25UYYBDY4,JRTCKXETXF,8A49CDX25UYYBDY4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3873/hour for reserved Single Pipeline HD AVC outputs at 30-60fps and Enhanced VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.3873000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-HD-60-E-R,CHANNEL_OUTPUT,NA,,30-60fps,NA,AVC,Single,us-east-1,1 Year,HD,AWS Elemental MediaLive,Enhanced
8CM9QFWBUXKZ3KFP,JRTCKXETXF,8CM9QFWBUXKZ3KFP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1044/hour for Single Pipeline SD AVC inputs at 20-50mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.1044000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-AVC-SD-L50,CHANNEL_INPUT,20-50mbps,,NA,AVC,NA,Single,us-east-1,On Demand,SD,AWS Elemental MediaLive,NA
8F5CA752QQKEV55P,JRTCKXETXF,8F5CA752QQKEV55P.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1082/hour for reserved Standard Pipeline SD AVC outputs at 10-20mbps <=30fps  in US East (N. Virginia),2025-05-01,0,Inf,Hours,0.1082000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-AVC-SD-L20-30-S-R,CHANNEL_OUTPUT,10-20mbps,,<=30fps,NA,AVC,Standard,us-east-1,1 Year,SD,AWS Elemental MediaLive,Standard
8HNVN8K5GJMZRT2R,JRTCKXETXF,8HNVN8K5GJMZRT2R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0427/hour for reserved Single Pipeline HD AVC inputs at 10-20mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.0427000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-AVC-HD-L20-R,CHANNEL_INPUT,10-20mbps,,NA,AVC,NA,Single,us-east-1,1 Year,HD,AWS Elemental MediaLive,NA
8NVF9QEB458DFBPS,JRTCKXETXF,8NVF9QEB458DFBPS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.964/hour for Single Pipeline HD AV1 outputs at 30-60fps and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,2.9640000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AV1-HD-60-S,CHANNEL_OUTPUT,NA,,30-60fps,NA,AV1,Single,us-east-1,On Demand,HD,AWS Elemental MediaLive,Standard
8QEWEN7RYZHA8FFK,JRTCKXETXF,8QEWEN7RYZHA8FFK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1438/hour for reserved Standard Pipeline HD HEVC inputs at 10-20mbps in US East (N. Virginia),2025-05-01,0,Inf,Hours,0.1438000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-IN-HEVC-HD-L20-R,CHANNEL_INPUT,10-20mbps,,NA,HEVC,NA,Standard,us-east-1,1 Year,HD,AWS Elemental MediaLive,NA
8QM9XBZR5GXBVQZQ,JRTCKXETXF,8QM9XBZR5GXBVQZQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.5830/hour for on demand Standard Pipeline UHD Link input in US East (N. Virginia),2025-05-01,0,Inf,Hrs,4.5830000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-IN-LINK-UHD,CHANNEL_INPUT,,,,Link,NA,Standard,us-east-1,On Demand,UHD,AWS Elemental MediaLive,
8V38C9AHWSRVBES8,JRTCKXETXF,8V38C9AHWSRVBES8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.2124/hour for Single Pipeline SD HEVC inputs at 20-50mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.2124000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-HEVC-SD-L50,CHANNEL_INPUT,20-50mbps,,NA,HEVC,NA,Single,us-east-1,On Demand,SD,AWS Elemental MediaLive,NA
8WN9TWWGV6GXKYJZ,JRTCKXETXF,8WN9TWWGV6GXKYJZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0137/hour for reserved Standard Pipeline SD MPEG-2 inputs at <10mbps in US East (N. Virginia),2025-05-01,0,Inf,Hours,0.0137000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-IN-MPEG2-SD-L10-R,CHANNEL_INPUT,<10mbps,,NA,MPEG-2,NA,Standard,us-east-1,1 Year,SD,AWS Elemental MediaLive,NA
94GX6796VTZ7ZC4Y,JRTCKXETXF,94GX6796VTZ7ZC4Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.723/hour for reserved Single Pipeline HD AV1 outputs at 30-60fps and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.7230000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AV1-HD-60-S-R,CHANNEL_OUTPUT,NA,,30-60fps,NA,AV1,Single,us-east-1,1 Year,HD,AWS Elemental MediaLive,Standard
9EYT43CNJE86X45R,JRTCKXETXF,9EYT43CNJE86X45R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.2672/hour for Single Pipeline UHD AVC inputs at 20-50mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,1.2672000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-AVC-UHD-L50,CHANNEL_INPUT,20-50mbps,,NA,AVC,NA,Single,us-east-1,On Demand,UHD,AWS Elemental MediaLive,NA
9FYY6Q7JHGV4TZK9,JRTCKXETXF,9FYY6Q7JHGV4TZK9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0773/hour for reserved Single Pipeline SD AVC outputs at 20-50mbps <=30fps  in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.0773000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-SD-L50-30-S-R,CHANNEL_OUTPUT,20-50mbps,,<=30fps,NA,AVC,Single,us-east-1,1 Year,SD,AWS Elemental MediaLive,Standard
9NPPHE6CZ6NAARKV,JRTCKXETXF,9NPPHE6CZ6NAARKV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0131/hour for reserved Single Pipeline SD MPEG-2 inputs at 20-50mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.0131000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-MPEG2-SD-L50-R,CHANNEL_INPUT,20-50mbps,,NA,MPEG-2,NA,Single,us-east-1,1 Year,SD,AWS Elemental MediaLive,NA
9PHKDPJGMHBHSZSE,JRTCKXETXF,9PHKDPJGMHBHSZSE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.2940/hour for Standard Pipeline HD AVC inputs at 10-20mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.2940000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-IN-AVC-HD-L20,CHANNEL_INPUT,10-20mbps,,NA,AVC,NA,Standard,us-east-1,On Demand,HD,AWS Elemental MediaLive,NA
9R3XZS7RWPJRKKEK,JRTCKXETXF,9R3XZS7RWPJRKKEK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.4144/hour for 3-year reserved MPEG2 SD multiplex output in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.4144000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-MUX-MPEG2-SD-R3,CHANNEL_OUTPUT,,,,,MPEG-2,,us-east-1,3 Year,SD,AWS Elemental MediaLive,
9RG3JGCDU8BBSUZZ,JRTCKXETXF,9RG3JGCDU8BBSUZZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.7000/hour for reserved Standard Pipeline FHD CDI inputs in US East (N. Virginia),2025-05-01,0,Inf,hours,0.7000000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-IN-CDI-FHD-R,CHANNEL_INPUT,,,,CDI,NA,Standard,us-east-1,1 Year,FHD,AWS Elemental MediaLive,
9UQ5GT7WRKRCJS7M,JRTCKXETXF,9UQ5GT7WRKRCJS7M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3528/hour for Single Pipeline HD HEVC inputs at 10-20mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.3528000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-HEVC-HD-L20,CHANNEL_INPUT,10-20mbps,,NA,HEVC,NA,Single,us-east-1,On Demand,HD,AWS Elemental MediaLive,NA
9UTRF5JPBXDRSCTA,JRTCKXETXF,9UTRF5JPBXDRSCTA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1404/hour for Single Pipeline HD AVC inputs at <10mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.1404000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-AVC-HD-L10,CHANNEL_INPUT,<10mbps,,NA,AVC,NA,Single,us-east-1,On Demand,HD,AWS Elemental MediaLive,NA
9XTQSNBFFQFK44WH,JRTCKXETXF,9XTQSNBFFQFK44WH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0173/hour for reserved Single Pipeline HD MPEG-2 inputs at <10mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.0173000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-MPEG2-HD-L10-R,CHANNEL_INPUT,<10mbps,,NA,MPEG-2,NA,Single,us-east-1,1 Year,HD,AWS Elemental MediaLive,NA
9YPBY7UEXFS6N83N,JRTCKXETXF,9YPBY7UEXFS6N83N.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.417/hour for On Demand Standard HD Motion Graphics in US East (N. Virginia),2025-05-01,0,Inf,Hrs,1.4170000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-MGHD,CHANNEL_FEATURE,NA,,NA,NA,HD Motion Graphics,Standard,us-east-1,On Demand,NA,AWS Elemental MediaLive,NA
9Z9APRBFN26KECFH,JRTCKXETXF,9Z9APRBFN26KECFH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1553/hour for reserved Single Pipeline HD AVC outputs at 20-50mbps <=30fps  in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.1553000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-HD-L50-30-S-R,CHANNEL_OUTPUT,20-50mbps,,<=30fps,NA,AVC,Single,us-east-1,1 Year,HD,AWS Elemental MediaLive,Standard
A8938WPRGKZYQ8TY,JRTCKXETXF,A8938WPRGKZYQ8TY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.7020/hour for Standard Pipeline HD AVC outputs at <10mbps,<=30fps,and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.7020000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-OUT-AVC-HD-L10-30-S,CHANNEL_OUTPUT,<10mbps,,<=30fps,NA,AVC,Standard,us-east-1,On Demand,HD,AWS Elemental MediaLive,Standard
