SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Location,Location Type,Volume Type,Group,Group Description,usageType,operation,Region Code,serviceName
R6PXMNYCEDGZ2EYN,JRTCKXETXF,R6PXMNYCEDGZ2EYN.JRTCKXETXF.HBHVWY47CM,OnDemand,$0.00 per hour for 25 units of write capacity for a month (free tier),2025-03-01,0,18600,WriteCapacityUnit-Hrs,0.0000000000,USD,,,,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,JRTCKXETXF,R6PXMNYCEDGZ2EYN.JRTCKXETXF.E63J5HTPNN,OnDemand,$0.00065 per hour for units of write capacity beyond the free tier,2025-03-01,18600,Inf,WriteCapacityUnit-Hrs,0.0006500000,USD,,,,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,VG8YD49WWM,R6PXMNYCEDGZ2EYN.VG8YD49WWM.6YS6EN2CT7,Reserved,Amazon DynamoDB,Reserved Write Capacity used this month,2025-03-12,0,Inf,WriteCapacityUnit-Hrs,0.0000810000,USD,3yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,VG8YD49WWM,R6PXMNYCEDGZ2EYN.VG8YD49WWM.2TG2D8R56U,Reserved,Upfront Fee,2025-03-12,,,Quantity,1.8,USD,3yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,YTVHEVGPBZ,R6PXMNYCEDGZ2EYN.YTVHEVGPBZ.6YS6EN2CT7,Reserved,Amazon DynamoDB,Reserved Write Capacity used this month,2025-03-12,0,Inf,WriteCapacityUnit-Hrs,0.0001280000,USD,1yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,YTVHEVGPBZ,R6PXMNYCEDGZ2EYN.YTVHEVGPBZ.2TG2D8R56U,Reserved,Upfront Fee,2025-03-12,,,Quantity,1.5,USD,1yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
TFXQN9PEG62G7A67,JRTCKXETXF,TFXQN9PEG62G7A67.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per GB-Month of storage used for DynamoDB PITR backup,2025-03-01,0,Inf,GB-Mo,0.2000000000,USD,,,,Database Storage,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Point-In-Time-Restore (PITR) Backup Storage,,,USE1-TimedPITRStorage-ByteHrs,,us-east-1,Amazon DynamoDB
V54YY5S4S3DECX7A,JRTCKXETXF,V54YY5S4S3DECX7A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1500 per GB for data import in US East (N. Virginia),2025-03-01,0,Inf,GB,0.1500000000,USD,,,,Amazon DynamoDB Import Data Size,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Import Size,,,USE1-ImportDataSize-Bytes,,us-east-1,Amazon DynamoDB
YR9NFVSXEN3QWYDU,JRTCKXETXF,YR9NFVSXEN3QWYDU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.155 per million IA read request units in US East (N. Virginia),2025-03-01,0,Inf,ReadRequestUnits,0.0000001550,USD,,,,Amazon DynamoDB PayPerRequest Throughput,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnitsIA,DynamoDB PayPerRequest Read Request Units IA,IA-ReadRequestUnits,PayPerRequestThroughput,us-east-1,Amazon DynamoDB
Z79SYD7KXFPZZ9SF,JRTCKXETXF,Z79SYD7KXFPZZ9SF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.15 per GB of data restored,2025-03-01,0,Inf,GB,0.1500000000,USD,,,,Amazon DynamoDB Restore Data Size,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Backup Restore Size,,,USE1-RestoreDataSize-Bytes,,us-east-1,Amazon DynamoDB
