SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,storage,usageType,operation,api-requests-free,api-requests-paid,change-requests-free,change-requests-paid,data transfer,describes,gets,instances,Ops Items,Parameter type,Region Code,response,serviceName,Throughput,Trial,updates
CRGRBSKXVRVAKSFW,JRTCKXETXF,CRGRBSKXVRVAKSFW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-CAN1-AWS-Out-Bytes,,,,,,CAN1-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
D9PJGEG5Y3CJ7MMP,JRTCKXETXF,D9PJGEG5Y3CJ7MMP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-APS3-AWS-Out-Bytes,,,,,,APS3,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
DBE23PVEV666XAAZ,JRTCKXETXF,DBE23PVEV666XAAZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-UGW1-AWS-Out-Bytes,,,,,,UGW1-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
E45PS9ZVE8VEFT2X,JRTCKXETXF,E45PS9ZVE8VEFT2X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,DataTransfer-Out-Bytes,,,,,,DataTransfer-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
GBCH6SDBJ88VJY6X,JRTCKXETXF,GBCH6SDBJ88VJY6X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-APN2-AWS-Out-Bytes,,,,,,APN2-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
HC63D5E39KDGQFBC,JRTCKXETXF,HC63D5E39KDGQFBC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Free trial Change Requests in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-Change-ChangeRequest-Free,,Not Applicable,Not Applicable,True,Not Applicable,,,,,,,us-east-1,,AWS Systems Manager,,,
J6TGD65Y5WUGW3BU,JRTCKXETXF,J6TGD65Y5WUGW3BU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.046 per GB per month of storage used in US East (N. Virginia),2025-04-01,0,Inf,GB-Mo,0.0460000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,True,USE1-TimedStorage-ByteHrs,,,,,,Not Applicable,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
JQMTRM5QAT5Q5S9G,JRTCKXETXF,JQMTRM5QAT5Q5S9G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.296 per Change Request in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.2960000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-Change-ChangeRequest-Tier1,,Not Applicable,Not Applicable,Not Applicable,True,,,,,,,us-east-1,,AWS Systems Manager,,,
JTF8BR2XPR8HFR82,JRTCKXETXF,JTF8BR2XPR8HFR82.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-EUW2-AWS-Out-Bytes,,,,,,EUW2-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
M8JPDP4UYTS2PJN8,JRTCKXETXF,M8JPDP4UYTS2PJN8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-APS2-AWS-Out-Bytes,,,,,,APS2-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
MB4F8NNCDVWUBKDE,JRTCKXETXF,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia),2025-04-01,0,Inf,API Request,0.0000050000,USD,API Request,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-PS-Param-Processed-Tier2,,,,,,,,,,,False,us-east-1,,AWS Systems Manager,1000,,
PNM2JSTPY6ZQ8K7E,JRTCKXETXF,PNM2JSTPY6ZQ8K7E.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-EU-AWS-Out-Bytes,,,,,,EU-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
R4HG5NC3FGHMZB56,JRTCKXETXF,R4HG5NC3FGHMZB56.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.025 per 1000 Get/Describe requests for Package Documents,2025-04-01,0,Inf,API Requests,0.0000250000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-Doc-API-Requests-Tier1,,,,,,Not Applicable,,True,,,,us-east-1,,AWS Systems Manager,,,
SNQ94B38KKCNXSW5,JRTCKXETXF,SNQ94B38KKCNXSW5.JRTCKXETXF.7UZZKUX94N,OnDemand,$0.0137 per hours from 0 to 72,000 for USE1-JustInTimeAccessHour in US East (N. Virginia),2025-04-01,0,72000,hours,0.0137000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-JustInTimeAccessHour,JustInTimeAccessHour,,,,,,,,,,,us-east-1,,AWS Systems Manager,,FALSE,
SNQ94B38KKCNXSW5,JRTCKXETXF,SNQ94B38KKCNXSW5.JRTCKXETXF.MR2VG8R56J,OnDemand,$0.0103 per hours from 72,000 to 720,000 for USE1-JustInTimeAccessHour in US East (N. Virginia),2025-04-01,72000,720000,hours,0.0103000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-JustInTimeAccessHour,JustInTimeAccessHour,,,,,,,,,,,us-east-1,,AWS Systems Manager,,FALSE,
SNQ94B38KKCNXSW5,JRTCKXETXF,SNQ94B38KKCNXSW5.JRTCKXETXF.M9YCZK9D2S,OnDemand,$0.0034 per hours from 720,000 to 7,200,000 for USE1-JustInTimeAccessHour in US East (N. Virginia),2025-04-01,720000,7200000,hours,0.0034000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-JustInTimeAccessHour,JustInTimeAccessHour,,,,,,,,,,,us-east-1,,AWS Systems Manager,,FALSE,
SNQ94B38KKCNXSW5,JRTCKXETXF,SNQ94B38KKCNXSW5.JRTCKXETXF.4AXZNUSGXN,OnDemand,$0.0014 per hours from 7,200,000 for USE1-JustInTimeAccessHour in US East (N. Virginia),2025-04-01,7200000,Inf,hours,0.0014000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-JustInTimeAccessHour,JustInTimeAccessHour,,,,,,,,,,,us-east-1,,AWS Systems Manager,,FALSE,
T8EZ8T42X4ZTP973,JRTCKXETXF,T8EZ8T42X4ZTP973.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-USW2-AWS-Out-Bytes,,,,,,USW2-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
TE8TQ3NV4UMVS7TS,JRTCKXETXF,TE8TQ3NV4UMVS7TS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00297 per OpsItem in US East (N. Virginia),2025-04-01,0,Inf,OpsItems,0.0029700000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-OC-OpsItems-Tier1,,,,,,,Not Applicable,Not Applicable,,True,,us-east-1,,AWS Systems Manager,,,Not Applicable
THYQHDPMFRQAUS5S,JRTCKXETXF,THYQHDPMFRQAUS5S.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000039 per OpsItem API Request in US East (N. Virginia),2025-04-01,0,Inf,API Requests,0.0000390000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-OC-API-Requests-Tier1,,,,,,,Not Applicable,True,,Not Applicable,,us-east-1,,AWS Systems Manager,,,Not Applicable
TPMRZ2E89RZMFTNP,JRTCKXETXF,TPMRZ2E89RZMFTNP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per hours for USE1-JustInTimeAccessHour-Trial in US East (N. Virginia),2025-04-01,0,Inf,hours,0.0000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-JustInTimeAccessHour-Trial,JustInTimeAccessHour,,,,,,,,,,,us-east-1,,AWS Systems Manager,,TRUE,
UNPGD9DYFMDSVXRD,JRTCKXETXF,UNPGD9DYFMDSVXRD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-UGE1-AWS-Out-Bytes,,,,,,UGE1-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
UXWWMVZSE7AHTM46,JRTCKXETXF,UXWWMVZSE7AHTM46.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-APN3-AWS-Out-Bytes,,,,,,APN3-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
XMNNGXT9W8GP758W,JRTCKXETXF,XMNNGXT9W8GP758W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-EUW3-AWS-Out-Bytes,,,,,,EUW3-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
YNS7WP2C8Z59X3C6,JRTCKXETXF,YNS7WP2C8Z59X3C6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-EUN1-AWS-Out-Bytes,,,,,,EUN1-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
ZHBBQT53NUZ69GUP,JRTCKXETXF,ZHBBQT53NUZ69GUP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0008 per Configuration Received for AppConfig-Deployments in US East (N. Virginia),2025-04-01,0,Inf,Configuration Received,0.0008000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-AppConfig-Deployments,,,,,,,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,True
