SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,LookoutVisionImage,Region Code,serviceName
42XY8BUAFA2RG6CT,JRTCKXETXF,42XY8BUAFA2RG6CT.JRTCKXETXF.V7GB4D473V,OnDemand,$100.0 per InferenceUnits for EdgeInference:EdgeInference in US East (N. Virginia),2023-03-01,0,5,InferenceUnits,100.0000000000,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-EdgeInference,EdgeInference,EdgeInference,us-east-1,Amazon Lookout for Vision
42XY8BUAFA2RG6CT,JRTCKXETXF,42XY8BUAFA2RG6CT.JRTCKXETXF.HDZQ82Q9XF,OnDemand,$100.0 per InferenceUnits for EdgeInference:EdgeInference in US East (N. Virginia),2023-03-01,5,500,InferenceUnits,100.0000000000,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-EdgeInference,EdgeInference,EdgeInference,us-east-1,Amazon Lookout for Vision
42XY8BUAFA2RG6CT,JRTCKXETXF,42XY8BUAFA2RG6CT.JRTCKXETXF.FNVAXVYQW3,OnDemand,$80.0 per InferenceUnits for EdgeInference:EdgeInference in US East (N. Virginia),2023-03-01,500,2500,InferenceUnits,80.0000000000,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-EdgeInference,EdgeInference,EdgeInference,us-east-1,Amazon Lookout for Vision
42XY8BUAFA2RG6CT,JRTCKXETXF,42XY8BUAFA2RG6CT.JRTCKXETXF.A4S8GPRG2S,OnDemand,$60.0 per InferenceUnits for EdgeInference:EdgeInference in US East (N. Virginia),2023-03-01,2500,Inf,InferenceUnits,60.0000000000,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-EdgeInference,EdgeInference,EdgeInference,us-east-1,Amazon Lookout for Vision
PFJMGNRVUE54BBY7,JRTCKXETXF,PFJMGNRVUE54BBY7.JRTCKXETXF.JB2EW9SCHB,OnDemand,$4.0 per hours for Inference:Inference in US East (N. Virginia),2023-03-01,0,18000,minutes,0.0666666670,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-Inference,Inference,Inference,us-east-1,Amazon Lookout for Vision
PFJMGNRVUE54BBY7,JRTCKXETXF,PFJMGNRVUE54BBY7.JRTCKXETXF.V6DCVP9P83,OnDemand,$3.6 per hours for Inference:Inference in US East (N. Virginia),2023-03-01,18000,198000,minutes,0.0600000000,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-Inference,Inference,Inference,us-east-1,Amazon Lookout for Vision
PFJMGNRVUE54BBY7,JRTCKXETXF,PFJMGNRVUE54BBY7.JRTCKXETXF.T7DGY2BYWK,OnDemand,$3.2 per hours for Inference:Inference in US East (N. Virginia),2023-03-01,198000,1998000,minutes,0.0533333330,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-Inference,Inference,Inference,us-east-1,Amazon Lookout for Vision
PFJMGNRVUE54BBY7,JRTCKXETXF,PFJMGNRVUE54BBY7.JRTCKXETXF.68C7VMJH22,OnDemand,$2.8 per hours for Inference:Inference in US East (N. Virginia),2023-03-01,1998000,Inf,minutes,0.0466666670,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-Inference,Inference,Inference,us-east-1,Amazon Lookout for Vision
U337EXJVVT7VPUDB,JRTCKXETXF,U337EXJVVT7VPUDB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.0 per hours for Training:Training in US East (N. Virginia),2023-03-01,0,Inf,minutes,0.0333333330,USD,Machine Learning,AmazonLookoutVision,US East (N. Virginia),AWS Region,USE1-Training,Training,Training,us-east-1,Amazon Lookout for Vision
