SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Integrating API,Integrating Feature,Integrating Service,Region Code,serviceName,Workforce Type
Q7PY2KD4BJCZ5JQS,JRTCKXETXF,Q7PY2KD4BJCZ5JQS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.680 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,1.6800000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt1.680,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt1.680
RGRETG66UF44TKW5,JRTCKXETXF,RGRETG66UF44TKW5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.120 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.1200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.120,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.120
RUHAWDNDX6U29HC6,JRTCKXETXF,RUHAWDNDX6U29HC6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.360 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.3600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.360,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.360
RVQF8ADZME4DTQ9Y,JRTCKXETXF,RVQF8ADZME4DTQ9Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.048 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.0480000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.048,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.048
TPAQB7HSTXN8SCYG,JRTCKXETXF,TPAQB7HSTXN8SCYG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.060 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.0600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.060,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.060
UG3Q67ZS5D5RACGK,JRTCKXETXF,UG3Q67ZS5D5RACGK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.240 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.2400000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.240,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.240
UJDE32ZDGH9QZ5KU,JRTCKXETXF,UJDE32ZDGH9QZ5KU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.0120000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.012,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.012
UYUDMPP2AYDF8M78,JRTCKXETXF,UYUDMPP2AYDF8M78.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.072 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.0720000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.072,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.072
WJR7QH6FHEDTCH8E,JRTCKXETXF,WJR7QH6FHEDTCH8E.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.080 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,1.0800000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt1.080,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt1.080
WYTZYDX2EN6Y2J4T,JRTCKXETXF,WYTZYDX2EN6Y2J4T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.920 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,1.9200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt1.920,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt1.920
XAG7TCZ2KDUMRXJT,JRTCKXETXF,XAG7TCZ2KDUMRXJT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.048 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.0480000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.048,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.048
XNAXB89TPC45TAHY,JRTCKXETXF,XNAXB89TPC45TAHY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.840 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.8400000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.840,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.840
YUDU753D2AE6MBSX,JRTCKXETXF,YUDU753D2AE6MBSX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.840 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.8400000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.840,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.840
ZRVP49A9WHTX8H6D,JRTCKXETXF,ZRVP49A9WHTX8H6D.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.040 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,2.0400000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt2.040,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt2.040
ZS8VSNQKC6QK6J6C,JRTCKXETXF,ZS8VSNQKC6QK6J6C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.440 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,1.4400000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt1.440,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt1.440
