SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Integrating API,Integrating Feature,Integrating Service,Region Code,serviceName,Workforce Type
5PWUN5RBD7Y7BC3Q,JRTCKXETXF,5PWUN5RBD7Y7BC3Q.JRTCKXETXF.VNJQCFJPS4,OnDemand,$0.02 for more than 1,000,000 objects directly through A2I,2020-04-01,1000000,Inf,Objects,0.0200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,Any
64JFKVNX6F5U7Y6Y,JRTCKXETXF,64JFKVNX6F5U7Y6Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.480 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.4800000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.480,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.480
6TX7M7J4K6P5QJJW,JRTCKXETXF,6TX7M7J4K6P5QJJW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.200 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,1.2000000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt1.200,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt1.200
7P2YM42URGADC9UW,JRTCKXETXF,7P2YM42URGADC9UW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.120 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.1200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.120,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.120
7QXJZR5AXGB65DBJ,JRTCKXETXF,7QXJZR5AXGB65DBJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.072 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.0720000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.072,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.072
7TWKX67C6DM839GD,JRTCKXETXF,7TWKX67C6DM839GD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.072 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.0720000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.072,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.072
8QJDJSJ62PFN38QD,JRTCKXETXF,8QJDJSJ62PFN38QD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.024 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.0240000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.024,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.024
9A8EJG8S86PHG4WE,JRTCKXETXF,9A8EJG8S86PHG4WE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.036 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.0360000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.036,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.036
9NFQYB83YKNJ2RXP,JRTCKXETXF,9NFQYB83YKNJ2RXP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.240 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.2400000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.240,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.240
ARHMH76DRUEJAV9X,JRTCKXETXF,ARHMH76DRUEJAV9X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.048 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.0480000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.048,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.048
ASDHQ69U4HYQ7NY7,JRTCKXETXF,ASDHQ69U4HYQ7NY7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.600 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.6000000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.600,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.600
AVZQ3ACE4GHPHXZY,JRTCKXETXF,AVZQ3ACE4GHPHXZY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.600 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.6000000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.600,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.600
B68WM76WK335BT7J,JRTCKXETXF,B68WM76WK335BT7J.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.280 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,2.2800000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt2.280,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt2.280
BAAY787EBT4R5EUE,JRTCKXETXF,BAAY787EBT4R5EUE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.036 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.0360000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.036,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.036
C28DZEBH43JTYXCV,JRTCKXETXF,C28DZEBH43JTYXCV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.160 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,2.1600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt2.160,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt2.160
CCUUQZCT847QY8Y8,JRTCKXETXF,CCUUQZCT847QY8Y8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.400 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,2.4000000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt2.400,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt2.400
CDSGUT7GCXMATFPU,JRTCKXETXF,CDSGUT7GCXMATFPU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.720 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.7200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.720,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.720
CS6HFUBYDM6HDYKZ,JRTCKXETXF,CS6HFUBYDM6HDYKZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.320 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,1.3200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt1.320,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt1.320
D3R8PQ83D8V9TWF6,JRTCKXETXF,D3R8PQ83D8V9TWF6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.036 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.0360000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.036,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.036
D748H9QEZ6896N8B,JRTCKXETXF,D748H9QEZ6896N8B.JRTCKXETXF.NADQ2ZJX8V,OnDemand,$0.03 for first 100,000 pages through Textract/A2I,2020-04-01,0,100000,Objects,0.0300000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITextract-AD-Form,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,Any
D748H9QEZ6896N8B,JRTCKXETXF,D748H9QEZ6896N8B.JRTCKXETXF.FF8BMSDA2R,OnDemand,$0.02 for more than 100,000 pages through Textract/A2I,2020-04-01,100000,Inf,Objects,0.0200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITextract-AD-Form,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,Any
DK8ZEYX6MXS9XY7G,JRTCKXETXF,DK8ZEYX6MXS9XY7G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.024 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.0240000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.024,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.024
DPNJ6ZVNKZGJWKTD,JRTCKXETXF,DPNJ6ZVNKZGJWKTD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.200 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,1.2000000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt1.200,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt1.200
E3CNHPSG2D4MC8ZG,JRTCKXETXF,E3CNHPSG2D4MC8ZG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.960 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.9600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.960,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.960
E939TD5KKPUFX75G,JRTCKXETXF,E939TD5KKPUFX75G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.360 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.3600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.360,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.360
EDECS4JRTBNE3UJ5,JRTCKXETXF,EDECS4JRTBNE3UJ5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.560 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,1.5600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt1.560,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt1.560
ET8AMDXZYUT44WAH,JRTCKXETXF,ET8AMDXZYUT44WAH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.800 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,1.8000000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt1.800,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt1.800
