SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Storage Class,Volume Type,usageType,operation,Region Code,serviceName
5QKB7KWZ696WZHB5,JRTCKXETXF,5QKB7KWZ696WZHB5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$.04167 per Active Data Grant/hour,2023-11-01,0,Inf,DataGrant-Hr,0.0416700000,USD,AWS Data Exchange,AWSDataExchange,US East (N. Virginia),AWS Region,,,USE1-TimedActiveDataGrant-Hrs,,us-east-1,AWS Data Exchange
G97XFWW9X8G9SQ5H,JRTCKXETXF,G97XFWW9X8G9SQ5H.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.023 per GB - storage/month,2023-11-01,0,Inf,GB-Mo,0.0230000000,USD,Storage,AWSDataExchange,US East (N. Virginia),AWS Region,General Purpose,Standard,USE1-TimedStorage-ByteHrs,,us-east-1,AWS Data Exchange
