SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Locke-Profiles,Region Code,serviceName
7QUP2HWPUY4UVR3H,JRTCKXETXF,7QUP2HWPUY4UVR3H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per Profiles for USE1-ConnectBaseProfilesUtilizedDaily:ConnectBaseProfilesUtilized in US East (N. Virginia),2024-12-01,0,Inf,Profiles,0.0000000000,USD,AmazonConnect,CustomerProfiles,US East (N. Virginia),AWS Region,USE1-ConnectBaseProfilesUtilizedDaily,ConnectBaseProfilesUtilized,ConnectBaseProfilesUtilizedDaily,us-east-1,Amazon Connect Customer Profiles
RV8K6QCP324PNS4Y,JRTCKXETXF,RV8K6QCP324PNS4Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per Profiles for USE1-CustomerProfilesUtilizedDaily:CustomerProfilesUtilized in US East (N. Virginia),2024-12-01,0,Inf,Profiles,0.0050000000,USD,AmazonConnect,CustomerProfiles,US East (N. Virginia),AWS Region,USE1-CustomerProfilesUtilizedDaily,CustomerProfilesUtilized,CustomerProfilesUtilizedDaily,us-east-1,Amazon Connect Customer Profiles
