SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Description,Location,Location Type,usageType,operation,Region Code,serviceName
5CVAWPFFH7VVBFNV,JRTCKXETXF,5CVAWPFFH7VVBFNV.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.0 per UsersPerMonth for SpaceInstance-Free in US East (N. Virginia),2024-05-01,0,Inf,UsersPerMonth,0.0000000000,USD,API Calls,repostspace,Free Tier,US East (N. Virginia),AWS Region,USE1-SpaceInstance-Free,,us-east-1,AWS re:Post Private
MTXGBUVNAYFA8MPE,JRTCKXETXF,MTXGBUVNAYFA8MPE.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD12.0 per UsersPerMonth for SpaceInstance-Standard in US East (N. Virginia),2024-05-01,0,Inf,UsersPerMonth,12.0000000000,USD,API Calls,repostspace,Standard Tier,US East (N. Virginia),AWS Region,USE1-SpaceInstance-Standard,,us-east-1,AWS re:Post Private
