SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Enhanced Infrastructure Metrics,Pricing Unit,Region Code,Resource Type,serviceName
2F2U46A3CCA45R8Q,JRTCKXETXF,2F2U46A3CCA45R8Q.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0003360215 per Hrs for Enhanced Infrastructure Metrics usage for EC2 instances in US East (N. Virginia),2024-08-01,0,Inf,Hrs,0.0003360215,USD,AWS Compute Optimizer,AWSComputeOptimizer,US East (N. Virginia),AWS Region,USE1-EnhancedInfrastructureMetrics,EC2Instance,Active,Hrs,us-east-1,EC2 Instance,AWS Compute Optimizer
C673X4BJ3MMTEGBY,JRTCKXETXF,C673X4BJ3MMTEGBY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0003360215 per Hrs for Enhanced Infrastructure Metrics usage for RDS DB instances in US East (N. Virginia),2024-08-01,0,Inf,Hrs,0.0003360215,USD,AWS Compute Optimizer,AWSComputeOptimizer,US East (N. Virginia),AWS Region,USE1-EnhancedInfrastructureMetrics,RDSDBInstance,Active,Hrs,us-east-1,RDS DB Instance,AWS Compute Optimizer
