SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,usageType,operation,Charge Type,Instance Size,OS Type,Package Type,Provisioning Type,Region Code,serviceName,Storage Type,Tier
GKT2KSKBXF9RTRZ5,JRTCKXETXF,GKT2KSKBXF9RTRZ5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per User/Month for Free Tier User Billed in US East (N. Virginia),2023-11-01,0,Inf,Users,0.0000000000,USD,,User Fees,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Free-User-Billed,,Billed,,,,,us-east-1,CodeCatalyst,,Free
GSKEYQ6FNWBHBAE4,JRTCKXETXF,GSKEYQ6FNWBHBAE4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.12 per hour for Dev Environment 2 vCPU 4 GB Linux On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.1200000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Dev-Environment-On-Demand-Usage-Billed,,Billed,2vCPU,Dev-Environment,,On-Demand,us-east-1,CodeCatalyst,,
GWUKABR5X74AAVQH,JRTCKXETXF,GWUKABR5X74AAVQH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 4 vCPU 8 GB Windows On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Windows-On-Demand-Usage-Included,,Included,4vCPU,Windows,,On-Demand,us-east-1,CodeCatalyst,,
H37YN8HZGHVTKHWP,A429C66SYZ,H37YN8HZGHVTKHWP.A429C66SYZ.9FGACD7APG,OnDemand,Global rate for Compute,2023-11-01,0,3000,minutes,0.0000000000,USD,,,CodeCatalyst,Any,AWS Region,Global-Compute,,,2vCPU,Linux,,On-Demand,,CodeCatalyst,,
H9E6VW4UYCZ64HWM,JRTCKXETXF,H9E6VW4UYCZ64HWM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.35 per 10k Requests for Packages in US East (N. Virginia) Included,2023-11-01,0,Inf,Requests,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Packages-Requests-Included,,Included,,,Requests,,us-east-1,CodeCatalyst,,
J9B3CAVKR3BDBDK9,JRTCKXETXF,J9B3CAVKR3BDBDK9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 2 vCPU 4 GB Linux x86_64 On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-On-Demand-Usage-Included,,Included,2vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
JJZCNVT4SEMA3FX8,JRTCKXETXF,JJZCNVT4SEMA3FX8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per Gigabyte for Storage - Dev Environments - Included in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Dev-Environment-Included,,Included,,,,,us-east-1,CodeCatalyst,Workspace,
KPFBP52UAXMFRMZP,JRTCKXETXF,KPFBP52UAXMFRMZP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per hour for Dev Environment 16 vCPU 32 GB Linux On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-16vCPU-Dev-Environment-On-Demand-Usage-Included,,Included,16vCPU,Dev-Environment,,On-Demand,us-east-1,CodeCatalyst,,
MCA2RSDEZ8M2W799,JRTCKXETXF,MCA2RSDEZ8M2W799.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per User/Month for Standard Tier User Included in US East (N. Virginia),2023-11-01,0,Inf,Users,0.0000000000,USD,,User Fees,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Standard-User-Included,,Included,,,,,us-east-1,CodeCatalyst,,Standard
MR4KFYEA7VATQCMN,JRTCKXETXF,MR4KFYEA7VATQCMN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.92 per hour for Dev Environment 16 vCPU 32 GB Linux On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.9200000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-16vCPU-Dev-Environment-On-Demand-Usage-Billed,,Billed,16vCPU,Dev-Environment,,On-Demand,us-east-1,CodeCatalyst,,
NCEM8XRBDM63EV55,JRTCKXETXF,NCEM8XRBDM63EV55.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per hour for Dev Environment 2 vCPU 4 GB Linux On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Dev-Environment-On-Demand-Usage-Included,,Included,2vCPU,Dev-Environment,,On-Demand,us-east-1,CodeCatalyst,,
