SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,usageType,operation,Charge Type,Instance Size,OS Type,Package Type,Provisioning Type,Region Code,serviceName,Storage Type,Tier
26UVMSSK5MT28FZ2,JRTCKXETXF,26UVMSSK5MT28FZ2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0044 per minute for Compute 4 vCPU 8 GB Linux Arm64 Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0044000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Arm64-Provisioned-Usage-Billed,,Billed,4vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
3GQ84F9BQHBMFQ8Z,JRTCKXETXF,3GQ84F9BQHBMFQ8Z.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per minute for Compute 8 vCPU 16 GB Linux x86_64 Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0120000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Provisioned-Usage-Billed,,Billed,8vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
437GEJB5W8KZAVMN,JRTCKXETXF,437GEJB5W8KZAVMN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 4 vCPU 8 GB Linux Arm64 Pre-Provisioned Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Arm64-Provisioned-Usage-Included,,Included,4vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
4H5K9MVNBF4YCSR9,JRTCKXETXF,4H5K9MVNBF4YCSR9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per Minutes for Compute-2vCPU-Linux-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0050000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Usage,,,2vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
53WK4V53Y69PCBCS,JRTCKXETXF,53WK4V53Y69PCBCS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0022 per minutes for Compute-2vCPU-Linux-Arm64-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,minutes,0.0022000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Arm64-Provisioned-Usage,,,2vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
5C4QZPGNVK7R9N9K,JRTCKXETXF,5C4QZPGNVK7R9N9K.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per Gigabyte for Storage - Repos - Billed in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0500000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Source-Billed,,Billed,,,,,us-east-1,CodeCatalyst,Source,
5FMJC3QG733SSCK5,JRTCKXETXF,5FMJC3QG733SSCK5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 8 vCPU 16 GB Linux x86_64 Pre-Provisioned Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Provisioned-Usage-Included,,Included,8vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
5R229X4CPSQD4G7H,JRTCKXETXF,5R229X4CPSQD4G7H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.92 per hours for 16vCPU-32GB-DevEnvironment-Compute in US East (N. Virginia),2023-11-01,0,Inf,hours,0.9200000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-16vCPU-32GB-DevEnvironment-Compute,,,16vCPU,MDE,,On-Demand,us-east-1,CodeCatalyst,,
5TD6BZ7JF3VEJWWX,JRTCKXETXF,5TD6BZ7JF3VEJWWX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.003 per Minutes for Compute-2vCPU-Linux-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0030000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Provisioned-Usage,,,2vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
5TRTV54FEUMKQCPD,JRTCKXETXF,5TRTV54FEUMKQCPD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 2 vCPU 4 GB Linux Arm64 On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Arm64-On-Demand-Usage-Included,,Included,2vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
68R322X4MA7K8BHS,JRTCKXETXF,68R322X4MA7K8BHS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.006 per minute for Compute 4 vCPU  8 GB Linux x86_64 Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0060000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Provisioned-Usage-Billed,,Billed,4vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
6G8GPXU2HUFEZHXT,JRTCKXETXF,6G8GPXU2HUFEZHXT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per Gigabyte for Storage - Packages - Billed in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0500000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Package-Billed,,Billed,,,,,us-east-1,CodeCatalyst,Package,
6JMMCAR2VC3YXBMC,JRTCKXETXF,6JMMCAR2VC3YXBMC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.02 per minute for Compute 8 vCPU 16 GB Linux x86_64 On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0200000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-On-Demand-Usage-Billed,,Billed,8vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
6NP6KP6SGNUS2E9V,JRTCKXETXF,6NP6KP6SGNUS2E9V.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0088 per minutes for Compute-8vCPU-Linux-Arm64-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,minutes,0.0088000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Arm64-Provisioned-Usage,,,8vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
764Q4QR34PXRM558,JRTCKXETXF,764Q4QR34PXRM558.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0034 per minute for Compute 2 vCPU 4 GB Linux Arm64 On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0034000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Arm64-On-Demand-Usage-Billed,,Billed,2vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
78R8HTEM53YCU8SJ,JRTCKXETXF,78R8HTEM53YCU8SJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.35 per 10k Requests for Packages in US East (N. Virginia) Billed,2023-11-01,0,Inf,Requests,0.3500000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Packages-Requests-Billed,,Billed,,,Requests,,us-east-1,CodeCatalyst,,
7QPCMMQWHN787RV5,A429C66SYZ,7QPCMMQWHN787RV5.A429C66SYZ.C2QCTD4VXQ,OnDemand,Global rate for Repo-Storage,2023-11-01,0,500,Gigabyte,0.0000000000,USD,,,CodeCatalyst,Any,AWS Region,Global-Repo-Storage,,,,,,,,CodeCatalyst,Source,
7RDR5QA89Z4VQEBF,JRTCKXETXF,7RDR5QA89Z4VQEBF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 8 vCPU 16 GB Windows On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Windows-On-Demand-Usage-Included,,Included,8vCPU,Windows,,On-Demand,us-east-1,CodeCatalyst,,
82DMT78CANT8QKP5,JRTCKXETXF,82DMT78CANT8QKP5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0068 per minute for Compute 4 vCPU 8 GB Linux Arm64 On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0068000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Arm64-On-Demand-Usage-Billed,,Billed,4vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
88CCUGTKRY2PGSGT,JRTCKXETXF,88CCUGTKRY2PGSGT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0136 per minute for Compute 8 vCPU 16 GB Linux Arm64 On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0136000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Arm64-On-Demand-Usage-Billed,,Billed,8vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
8XPU5PW8NGDM7V8D,JRTCKXETXF,8XPU5PW8NGDM7V8D.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per minute for Compute 2 vCPU 4 GB Linux x86_64 On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0050000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-On-Demand-Usage-Billed,,Billed,2vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
92WKH9S5JG8QF9MN,JRTCKXETXF,92WKH9S5JG8QF9MN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 8 vCPU 16 GB Windows On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Windows-On-Demand-Usage-Billed,,Billed,8vCPU,Windows,,On-Demand,us-east-1,CodeCatalyst,,
9SSKWGT5D5XRZFS2,JRTCKXETXF,9SSKWGT5D5XRZFS2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per User/Month for Enterprise Tier User Included in US East (N. Virginia),2023-11-01,0,Inf,Users,0.0000000000,USD,,User Fees,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Enterprise-User-Included,,Included,,,,,us-east-1,CodeCatalyst,,Enterprise
9UE9263GDFWT8AWQ,JRTCKXETXF,9UE9263GDFWT8AWQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per User/Month for Free Tier User Included in US East (N. Virginia),2023-11-01,0,Inf,Users,0.0000000000,USD,,User Fees,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Free-User-Included,,Included,,,,,us-east-1,CodeCatalyst,,Free
A73HYCA8865MPXHY,JRTCKXETXF,A73HYCA8865MPXHY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4 per User/Month for Standard Tier User Billed in US East (N. Virginia),2023-11-01,0,Inf,Users,4.0000000000,USD,,User Fees,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Standard-User-Billed,,Billed,,,,,us-east-1,CodeCatalyst,,Standard
ASUAQ9ME2TVZVQW9,JRTCKXETXF,ASUAQ9ME2TVZVQW9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per Gigabyte for Storage - Attachments -  Included in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Attachment-Included,,Included,,,,,us-east-1,CodeCatalyst,Attachment,
B9A95BXG6KWHV6WE,JRTCKXETXF,B9A95BXG6KWHV6WE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0216 per Minutes for Compute-8vCPU-Windows-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0216000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Windows-Provisioned-Usage,,,8vCPU,Windows,,Pre-Provisioned,us-east-1,CodeCatalyst,,
BEV9K6TG94WWHXDQ,JRTCKXETXF,BEV9K6TG94WWHXDQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 8 vCPU 16 GB Linux x86_64 On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-On-Demand-Usage-Included,,Included,8vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
BWMP6984T7M34774,JRTCKXETXF,BWMP6984T7M34774.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per Minutes for Compute-8vCPU-Linux-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0120000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Provisioned-Usage,,,8vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
C42B66M9BNDTVQ2H,JRTCKXETXF,C42B66M9BNDTVQ2H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.003 per minute for Compute 2 vCPU 4 GB Linux x86_64 Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0030000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Provisioned-Usage-Billed,,Billed,2vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
C5TCPUZKFPJYV8WS,A429C66SYZ,C5TCPUZKFPJYV8WS.A429C66SYZ.ZGSFYEJKJH,OnDemand,Global rate for DevEnvironment-Compute,2023-11-01,0,200,hours,0.0000000000,USD,,,CodeCatalyst,Any,AWS Region,Global-DevEnvironment-Compute,,,2vCPU,MDE,,On-Demand,,CodeCatalyst,,
CDKSJXDT6MESWFQN,JRTCKXETXF,CDKSJXDT6MESWFQN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per Minutes for Compute-4vCPU-Linux-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0100000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Usage,,,4vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
CFSME556XD4B3MDW,JRTCKXETXF,CFSME556XD4B3MDW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB for Package-Storage in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0500000000,USD,VPYZNC2BVYJGGP3J,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Package-Storage,,,,,,,us-east-1,CodeCatalyst,Package,
