SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Region Code,serviceName,Supported Modes
3F5ZNN2H4CAQJUUJ,JRTCKXETXF,3F5ZNN2H4CAQJUUJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Processed Medical streaming transcription request in us-east-1,2024-09-01,0,Inf,seconds,0.0012500000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-MedicalStreamingAudio,MedicalStreamingAudio,us-east-1,Amazon Transcribe,Stream to Text
EASEZCD8P5RFWFVY,JRTCKXETXF,EASEZCD8P5RFWFVY.JRTCKXETXF.EPWSATNW8X,OnDemand,USD per second for CallAnalytics:Summarization  in US East (N. Virginia),1M to 5M min,2024-09-01,60000000,300000000,seconds,0.0000183333,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-SummaryCallAnalyticsTranscribe,SummaryCallAnalyticsTranscribe,us-east-1,Amazon Transcribe,Transcribe Call Analytics Summarization
EASEZCD8P5RFWFVY,JRTCKXETXF,EASEZCD8P5RFWFVY.JRTCKXETXF.Y5DREYKEMT,OnDemand,USD per second for CallAnalytics:Summarization in US East (N. Virginia),5M min+,2024-09-01,300000000,Inf,seconds,0.0000150000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-SummaryCallAnalyticsTranscribe,SummaryCallAnalyticsTranscribe,us-east-1,Amazon Transcribe,Transcribe Call Analytics Summarization
GMYWXFUGQ5WUNKAC,JRTCKXETXF,GMYWXFUGQ5WUNKAC.JRTCKXETXF.XEPN5HMENM,OnDemand,USD per Second for RedactionTranscribeAudio:RedactionTranscribeAudio in US East (N. Virginia),0 to 250K min,2024-09-01,0,15000000,Second,0.0000400000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-RedactionTranscribeAudio,RedactionTranscribeAudio,us-east-1,Amazon Transcribe,Audio to Text
GMYWXFUGQ5WUNKAC,JRTCKXETXF,GMYWXFUGQ5WUNKAC.JRTCKXETXF.R5R9GNZZG6,OnDemand,USD per Second for RedactionTranscribeAudio:RedactionTranscribeAudio in US East (N. Virginia),250K min to 1M min,2024-09-01,15000000,60000000,Second,0.0000250000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-RedactionTranscribeAudio,RedactionTranscribeAudio,us-east-1,Amazon Transcribe,Audio to Text
GMYWXFUGQ5WUNKAC,JRTCKXETXF,GMYWXFUGQ5WUNKAC.JRTCKXETXF.EPWSATNW8X,OnDemand,USD per Second for RedactionTranscribeAudio:RedactionTranscribeAudio in US East (N. Virginia),1M min to 5M min,2024-09-01,60000000,300000000,Second,0.0000170000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-RedactionTranscribeAudio,RedactionTranscribeAudio,us-east-1,Amazon Transcribe,Audio to Text
GMYWXFUGQ5WUNKAC,JRTCKXETXF,GMYWXFUGQ5WUNKAC.JRTCKXETXF.Y5DREYKEMT,OnDemand,USD per Second for RedactionTranscribeAudio:RedactionTranscribeAudio in US East (N. Virginia),5M min +,2024-09-01,300000000,Inf,Second,0.0000130000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-RedactionTranscribeAudio,RedactionTranscribeAudio,us-east-1,Amazon Transcribe,Audio to Text
NVBT383B7PJKZFRY,JRTCKXETXF,NVBT383B7PJKZFRY.JRTCKXETXF.XEPN5HMENM,OnDemand,USD per Second for RedactionTranscribeStreaming in US East (N. Virginia),0 to 250K min,2024-09-01,0,15000000,seconds,0.0000400000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-RedactionTranscribeStreaming,RedactionTranscribeStreaming,us-east-1,Amazon Transcribe,automatic content redaction
NVBT383B7PJKZFRY,JRTCKXETXF,NVBT383B7PJKZFRY.JRTCKXETXF.R5R9GNZZG6,OnDemand,USD per Second for RedactionTranscribeStreaming in US East (N. Virginia),250K min to 1M min,2024-09-01,15000000,60000000,seconds,0.0000250000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-RedactionTranscribeStreaming,RedactionTranscribeStreaming,us-east-1,Amazon Transcribe,automatic content redaction
NVBT383B7PJKZFRY,JRTCKXETXF,NVBT383B7PJKZFRY.JRTCKXETXF.EPWSATNW8X,OnDemand,USD per Second for RedactionTranscribeStreaming in US East (N. Virginia),1M min to 5M min,2024-09-01,60000000,300000000,seconds,0.0000170000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-RedactionTranscribeStreaming,RedactionTranscribeStreaming,us-east-1,Amazon Transcribe,automatic content redaction
NVBT383B7PJKZFRY,JRTCKXETXF,NVBT383B7PJKZFRY.JRTCKXETXF.Y5DREYKEMT,OnDemand,USD per Second for RedactionTranscribeStreaming in US East (N. Virginia),5M min +,2024-09-01,300000000,Inf,seconds,0.0000130000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-RedactionTranscribeStreaming,RedactionTranscribeStreaming,us-east-1,Amazon Transcribe,automatic content redaction
