SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Volume Type,Group,Group Description,usageType,operation,Region Code,serviceName
36QGN763Y6D5FB7M,JRTCKXETXF,36QGN763Y6D5FB7M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.16 per VPU-Hr for View Processing in US East (N. Virginia),2020-11-01,0,Inf,VPU-Hr,0.1600000000,USD,PayPerRequestProcessing,AWSGlueElasticViews,US East (N. Virginia),AWS Region,,ViewProcessingUnit,Elastic Views Pay Per Request Processing,USE1-ViewProcessing-VPUHrs,PayPerRequestProcessing,us-east-1,AWS Glue Elastic Views
Y5WGTJAVFQWBYJX3,JRTCKXETXF,Y5WGTJAVFQWBYJX3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.023 per GB-Mo for Table Storage  in US East (N. Virginia),2020-11-01,0,Inf,GB-Mo,0.0230000000,USD,,AWSGlueElasticViews,US East (N. Virginia),AWS Region,EV - Table Storage,TableStorage,TimedTableStorage,USE1-TimedTableStorage-ByteHrs,,us-east-1,AWS Glue Elastic Views
